policy_tenure,age_of_car,age_of_policyholder,area_cluster,population_density,make,segment,model,fuel_type,engine_type,airbags,is_esc,is_adjustable_steering,is_tpms,is_parking_sensors,is_parking_camera,rear_brakes_type,displacement,cylinder,transmission_type,gear_box,steering_type,turning_radius,length,width,height,gross_weight,is_front_fog_lights,is_rear_window_wiper,is_rear_window_washer,is_rear_window_defogger,is_brake_assist,is_power_door_locks,is_central_locking,is_power_steering,is_driver_seat_height_adjustable,is_day_night_rear_view_mirror,is_ecw,is_speed_alert,ncap_rating,is_claim,narrative,claim_amount,image_prompt,image_filename
1.1442073880059256,0.0400754786698889,0.3220259581312683,C3,3618,1,B2,M7,Petrol,1.2 L K Series Engine,6,Yes,Yes,No,Yes,Yes,Drum,1197,4,Automatic,5,Electric,4.849903843993384,3992,1744,1500,1412,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,1,"""I'm extremely dissatisfied with the way my recent auto insurance claim was handled, as I was told my totaled car was a total loss and I was given a lowball settlement offer that doesn't even cover the cost of a decent replacement vehicle. I expect a more thorough and fair assessment of my claim, or I'll be taking my business elsewhere.""",15927.98,a photo of a car with damage,sample_0.jpg
0.055251196761312,0.1501254556773479,0.6599960378809916,C9,16153,1,B2,M7,Petrol,1.2 L K Series Engine,6,Yes,Yes,No,Yes,Yes,Drum,1199,4,Automatic,5,Electric,4.84839642875206,3992,1742,1500,1410,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,1,"""I am extremely disappointed with the settlement offer I received from your company, which is nowhere near the actual value of the damage to my vehicle, and I feel like I'm being taken advantage of. I expect a more reasonable and fair offer that reflects the true extent of the damage, not some arbitrary and insulting amount.""",4393.21,a photo of a car with damage,sample_1.jpg
0.0791076537537455,0.0088237013050511,0.3977277412296799,C9,5985,1,A,M1,CNG,F8D Petrol Engine,2,No,No,No,Yes,No,Drum,796,3,Manual,5,Power,4.600776363827497,3441,1515,1475,1184,No,No,No,No,No,No,No,Yes,No,No,No,Yes,0,1,"""I am extremely disappointed and frustrated that my recent auto insurance claim was denied despite providing all necessary documentation and meeting the policy's coverage requirements. The lack of transparency and communication from your company has been appalling, leaving me feeling helpless and unsure of what to do next.""",1183.95,a photo of a car with damage,sample_2.jpg
0.1060732977529035,0.1607924261748441,0.7659834485933184,C8,8433,1,B1,M8,CNG,K10C,2,No,No,No,Yes,No,Drum,996,3,Manual,5,Power,4.695716994198097,3650,1620,1674,1341,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,2,1,"""I am extremely dissatisfied with the recent denial of my auto insurance claim, despite providing all necessary documentation and evidence of the accident, and I believe it was an unfair and incorrect decision that has caused me significant financial hardship. I expect a thorough review and reconsideration of my claim, as well as compensation for the inconvenience and stress this has caused.""",1022.43,a photo of a car with damage,sample_3.jpg
0.22339196516578,0.0175016186581752,0.4791863380986318,C10,5376,1,B2,M7,Petrol,1.2 L K Series Engine,6,Yes,Yes,No,Yes,Yes,Drum,1197,4,Automatic,5,Electric,4.853749532996376,3985,1745,1500,1408,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,1,"""I am extremely dissatisfied with the way my recent insurance claim was handled, specifically the declaration that my vehicle was a total loss without properly investigating the damage or providing a reasonable estimate for repairs. The lack of transparency and fairness in this decision has left me feeling frustrated and disrespected as a customer.""",14155.37,a photo of a car with damage,sample_4.jpg
0.8867026560587215,0.0169772751596028,0.3867284110083255,C9,5445,3,C2,M4,Diesel,1.5 L U2 CRDi,6,Yes,Yes,Yes,Yes,Yes,Disc,1492,4,Automatic,6,Power,5.196369216951531,4305,1789,1634,1715,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,3,1,"""I am writing to express my extreme dissatisfaction with the way my recent auto insurance claim was handled. Despite being told that my totaled vehicle would be replaced or repaired, I was instead offered a paltry settlement that barely covered the cost of a used replacement vehicle, leaving me stranded and without reliable transportation.""",30630.04,a photo of a car with damage,sample_5.jpg
1.0558831241964235,0.0356516631710656,0.4163487994034087,C10,8213,3,C2,M4,Petrol,1.5 L U2 CRDi,6,Yes,Yes,Yes,Yes,Yes,Disc,1492,4,Automatic,6,Power,5.198156633599087,4300,1789,1634,1717,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,3,1,"""I am extremely dissatisfied with the handling of my recent auto insurance claim, as my totaled vehicle was deemed a total loss without any attempt to repair or replace it, leaving me stranded and without a reliable mode of transportation. Despite multiple promises of assistance, I have yet to receive a satisfactory resolution or any meaningful communication from your company.""",32049.59,a photo of a car with damage,sample_6.jpg
1.1055271620616496,0.0265708099986828,0.5486191344240663,C3,3904,1,C1,M7,Petrol,1.2 L K Series Engine,6,Yes,Yes,No,Yes,Yes,Drum,1198,4,Automatic,5,Electric,4.852611630132334,3988,1745,1501,1405,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,1,"""I am extremely dissatisfied with the handling of my recent auto insurance claim, which was deemed a total loss after a recent accident. Despite providing all necessary documentation, I've been left waiting for weeks to receive any sort of settlement or resolution, which is unacceptable and frustrating.""",13926.91,a photo of a car with damage,sample_7.jpg
0.5730684120427265,0.042230907273253,0.5616270279134221,C3,5887,1,A,M1,CNG,F8D Petrol Engine,2,No,No,No,Yes,No,Drum,801,3,Manual,5,Power,4.60222519307366,3442,1515,1475,1183,No,No,No,No,No,No,No,Yes,No,No,No,Yes,0,1,"""I'm extremely frustrated with the unacceptable delay in processing my recent auto insurance claim, which has left me without a functioning vehicle and causing unnecessary financial strain. I expect a prompt resolution and compensation for the inconvenience and distress caused by the company's poor handling of my claim.""",1925.32,a photo of a car with damage,sample_8.jpg
0.519469313512948,0.1442750547906896,0.3665790276970073,C8,26669,3,C2,M4,Diesel,1.5 L U2 CRDi,6,Yes,Yes,Yes,Yes,Yes,Disc,1494,4,Automatic,6,Power,5.199923589778711,4302,1790,1636,1715,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,3,1,"""I'm extremely disappointed with the settlement offer I received from your company after my car was totaled in an accident, as it's nowhere near enough to cover the actual cost of repairs and I'm still waiting for a resolution. I expect a more reasonable and fair offer, especially considering I've been a loyal customer for over 10 years.""",6979.4,a photo of a car with damage,sample_9.jpg
